Bloodstrike: Assassin,1,Image,,"Robert Napon
Karl Altstaetter",Karl Altstaetter,,,1,Yes,,comic
Bloodstrike: Brutalists,0,Image,Michel Fiffe,Michel Fiffe,Michel Fiffe,Bloodstrike: Brutalists 1,,,,,comic
Bloodstrike: Brutalists,23,Image,Michel Fiffe,Michel Fiffe,Michel Fiffe,Bloodstrike: Brutalists 2,,,,,comic
Bloodstrike: Brutalists,24,Image,Michel Fiffe,Michel Fiffe,Michel Fiffe,Bloodstrike: Brutalists 3,,,,,comic
Blue Bulleteer,1,Americomics,,Bill Black,Bill Lux,,,Yes,No,,comic
Blue Ribbon Comics,1,Red Circle,,Joe Simon,"Al Williamson
Jack Kirby",featuring The Fly from Mighty Crusaders,,Yes,Yes,,comic
Bluefuzz,,,Jesse Reklaw,Jesse Reklaw,Jesse Reklaw,,,,,,minicomic
Body Count,1,Aircel,,Barry Blair,Dave Cooper,,,Yes,Yes,,comic
Body Count,2,Aircel,,Barry Blair,Dave Cooper,,,Yes,Yes,,comic
Body Count,3,Aircel,,Barry Blair,Dave Cooper,,,Yes,Yes,,comic
Body Count,4,Aircel,,Barry Blair,Dave Cooper,,,Yes,Yes,,comic
Boffo,1,,Ross Jackson,Ross Jackson,Ross Jackson,,,,,,minicomic
Bombast,1,Topps,,"Roy Thomas
Grant Friedrich","Dick Ayers
John Severin",,,Yes,Yes,,comic
Boo/Meow,,,Andrew Neal,Andrew Neal,Andrew Neal,,,,,,minicomic
Boob,1,,Sam Spina,Sam Spina,Sam Spina,,,,,,minicomic
Boob,2,,Sam Spina,Sam Spina,Sam Spina,,,,,,minicomic
Borderguard,1,Eternity,,"CJ Henderson
Peter Palmer",Albert Val,,,Yes,No,,comic
"Born into Flame, But the Fire Dies Amen Goodbye",,,Christopher Green,Christopher Green,Christopher Green,,,,,,minicomic
"Boulevard of Broken Dreams, The",1,Fantagraphics,,Kim Deitch,Kim Deitch,,,Yes,Yes,,indie
Boy Genius,,,Cathy Johnson,Cathy Johnson,Cathy Johnson,,,,,,minicomic
Brad Trip,,,,,,,,,,,comic
Breakthroughs in Bad Words,,,Tyne Lowe,Tyne Lowe,Tyne Lowe,,,,,,minicomic
Brigade,0,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,Yes,Yes,,comic
Brigade,1,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,Yes,Yes,,comic
Brigade,2,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,Yes,Yes,,comic
Brigade,3,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,Yes,Yes,,comic
Brigade,4,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,14-page Youngblood #5 on flipside,,Yes,Yes,,comic
Brigade,5,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,Yes,Yes,,comic
Brigade,6,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,Yes,Yes,,comic
Brigade,7,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,Yes,Yes,,comic
Brigade,8,Image,,"Rob Liefeld
Eric Stephenson",Marat Mychaels,,,No,Yes,,comic
Brigade,9,Image,,"Rob Liefeld
Hank Kanalz
Eric Stephenson",Chap Yaep,,,No,Yes,,comic
Brigade,10,Image,,"Rob Liefeld
Hank Kanalz
Eric Stephenson",Anthony Winn,,,No,Yes,,comic
Brigade,11,Image,,"Rob Liefeld
Hank Kanalz
Eric Stephenson",Anthony Winn,,,No,Yes,,comic
Brigade,12,Image,,"Rob Liefeld
Hank Kanalz
Eric Stephenson",Anthony Winn,,,No,Yes,,comic
Brigade,13,Image,,"Rob Liefeld
Hank Kanalz
Eric Stephenson",Anthony Winn,,,No,Yes,,comic
Brigade,25,Image,,"Rob Liefeld
Hank Kanalz
Eric Stephenson","Marat Mychaels
Anthony Winn",,,No,Yes,,comic
Bro Henge,,,Jesse Mead,Jesse Mead,Jesse Mead,,,,,,minicomic
Buck Rogers,1,Hermes,,,,FCBD 2013 Edition,,Yes,Yes,,comic
